index,internal_id,internal_name,web_name,time_ms,duration_ms,goldMove
35,40,Spin,earthsong_spin,113649,1735,0
36,41,Bras_U,earthsong_bras_u,117119,1735,0
37,42,Bras_Down,earthsong_bras_down,120590,1735,0
38,43,Allemand,earthsong_allemand,124060,2603,0
39,44,Pointer_Sol,earthsong_pointer_sol,126662,1735,0
40,41,Bras_U,earthsong_bras_u,130986,1750,0
41,42,Bras_Down,earthsong_bras_down,134470,1735,0
42,43,Allemand,earthsong_allemand,137941,2603,0
43,44,Pointer_Sol,earthsong_pointer_sol,140543,1735,0
44,46,Main,earthsong_main,144881,1735,0
45,45,Poitrine_R,earthsong_poitrine_r,146616,868,0
46,45,Poitrine_R,earthsong_poitrine_r,147484,868,0
47,47,Bras,earthsong_bras,148351,1741,0
48,39,Poitrine_L,earthsong_poitrine_l,150092,852,0
49,39,Poitrine_L,earthsong_poitrine_l,150944,877,0
50,49,Saut_R,earthsong_saut_r,151821,1750,0
51,45,Poitrine_R,earthsong_poitrine_r,153571,853,0
52,45,Poitrine_R,earthsong_poitrine_r,154424,868,0
53,50,Saut_L,earthsong_saut_l,155292,1735,0
54,54,Ski_R,earthsong_ski_r,157027,868,0
55,54,Ski_R,earthsong_ski_r,157894,868,0
56,41,Bras_U,earthsong_bras_u,158762,1735,0
57,42,Bras_Down,earthsong_bras_down,162232,1735,0
58,43,Allemand,earthsong_allemand,165702,2603,0
59,44,Pointer_Sol,earthsong_pointer_sol,168305,1745,0
60,41,Bras_U,earthsong_bras_u,172643,1735,0
61,42,Bras_Down,earthsong_bras_down,176113,1735,0
62,43,Allemand,earthsong_allemand,179593,2593,0
63,44,Pointer_Sol,earthsong_pointer_sol,182186,1735,0
64,64,Shake,earthsong_shake,185656,868,0
65,53,Poing_Lever_R,earthsong_poing_lever_r,186523,1735,0
66,41,Bras_U,earthsong_bras_u,189994,1735,0
67,52,Poing_Lever_L,earthsong_poing_lever_l,193464,1735,0
68,41,Bras_U,earthsong_bras_u,196934,1742,0
69,53,Poing_Lever_R,earthsong_poing_lever_r,200404,1735,0
70,41,Bras_U,earthsong_bras_u,203874,1735,0
71,52,Poing_Lever_L,earthsong_poing_lever_l,207345,1745,0
72,51,Bras_Tendu,earthsong_bras_tendu,210815,1744,0
73,53,Poing_Lever_R,earthsong_poing_lever_r,214285,1735,0
74,48,Ski_L,earthsong_ski_l,216892,863,0
75,48,Ski_L,earthsong_ski_l,217755,880,0
76,55,Poing_L,earthsong_poing_l,218635,1729,0
77,54,Ski_R,earthsong_ski_r,220364,861,1
78,54,Ski_R,earthsong_ski_r,221225,875,0
79,56,Poing_R,earthsong_poing_r,222100,1742,0
80,48,Ski_L,earthsong_ski_l,223842,854,0
81,48,Ski_L,earthsong_ski_l,224696,880,0
82,55,Poing_L,earthsong_poing_l,225575,1746,0
83,54,Ski_R,earthsong_ski_r,227321,845,1
84,54,Ski_R,earthsong_ski_r,228166,876,0
85,56,Poing_R,earthsong_poing_r,229042,1734,0
86,48,Ski_L,earthsong_ski_l,230777,869,0
87,48,Ski_L,earthsong_ski_l,231645,868,0
88,55,Poing_L,earthsong_poing_l,232513,1748,0
89,54,Ski_R,earthsong_ski_r,234262,858,1
90,54,Ski_R,earthsong_ski_r,235120,868,0
91,57,Poing_F,earthsong_poing_f,235988,1735,0
92,40,Spin,earthsong_spin,240326,1735,0
93,58,Main_R,earthsong_main_r,242928,1735,0
94,59,Genou_Tape,earthsong_genou_tape,244664,868,0
95,60,Genou_Moi,earthsong_genou_moi,245531,878,0
96,61,Main_L,earthsong_main_l,246410,1724,0
97,59,Genou_Tape,earthsong_genou_tape,248134,868,0
98,60,Genou_Moi,earthsong_genou_moi,249001,868,0
99,58,Main_R,earthsong_main_r,249869,1735,0
100,59,Genou_Tape,earthsong_genou_tape,251604,868,0
101,64,Shake,earthsong_shake,252471,868,0
102,64,Shake,earthsong_shake,253339,868,0
103,41,Bras_U,earthsong_bras_u,256809,1735,0
104,41,Bras_U,earthsong_bras_u,260279,1735,0
105,64,Shake,earthsong_shake,262882,868,0
106,41,Bras_U,earthsong_bras_u,263750,1735,0
107,64,Shake,earthsong_shake,267220,868,0
108,64,Shake,earthsong_shake,268087,868,0
109,63,Poing_Lever_F,earthsong_poing_lever_f,270690,868,0
110,63,Poing_Lever_F,earthsong_poing_lever_f,272434,858,0
111,63,Poing_Lever_F,earthsong_poing_lever_f,274168,860,0
112,63,Poing_Lever_F,earthsong_poing_lever_f,275906,883,0
113,63,Poing_Lever_F,earthsong_poing_lever_f,277657,868,0
114,63,Poing_Lever_F,earthsong_poing_lever_f,279392,868,0
115,63,Poing_Lever_F,earthsong_poing_lever_f,281127,868,0
116,63,Poing_Lever_F,earthsong_poing_lever_f,282862,868,0
117,63,Poing_Lever_F,earthsong_poing_lever_f,284597,868,0
118,63,Poing_Lever_F,earthsong_poing_lever_f,286332,868,0
119,63,Poing_Lever_F,earthsong_poing_lever_f,288067,868,0
120,63,Poing_Lever_F,earthsong_poing_lever_f,289802,868,0
121,62,Pose_Fin,earthsong_pose_fin,293273,2603,0
