index,label,sample_44100,time_ms,time_seconds
249,b250,9564942,216892,216.89210510253906
250,b251,9603008,217755,217.75527954101562
251,b252,9641812,218635,218.63519287109375
252,b253,9679526,219490,219.49038696289062
253,b254,9718074,220364,220.36448669433594
254,b255,9756044,221225,221.22549438476562
255,b256,9794610,222100,222.10000610351562
256,b257,9832562,222961,222.96058654785156
257,b258,9871430,223842,223.84194946289062
258,b259,9909080,224696,224.69569396972656
259,b260,9947868,225575,225.5752410888672
260,b261,9986270,226446,226.44602966308594
261,b262,10024866,227321,227.32122802734375
262,b263,10062116,228166,228.1658935546875
263,b264,10100760,229042,229.04217529296875
264,b265,10138634,229901,229.9010009765625
265,b266,10177248,230777,230.77659606933594
266,b267,10215552,231645,231.64517211914062
267,b268,10253832,232513,232.51319885253906
268,b269,10292128,233382,233.381591796875
269,b270,10330938,234262,234.26162719726562
270,b271,10368792,235120,235.1199951171875
271,b272,10407072,235988,235.98802185058594
272,b273,10445330,236856,236.85556030273438
273,b274,10483590,237723,237.72312927246094
274,b275,10521848,238591,238.5906524658203
275,b276,10560108,239458,239.45823669433594
276,b277,10598366,240326,240.3257598876953
277,b278,10636626,241193,241.19332885742188
278,b279,10674884,242061,242.0608673095703
279,b280,10713144,242928,242.92843627929688
280,b281,10751402,243796,243.79595947265625
281,b282,10789662,244664,244.66354370117188
282,b283,10827920,245531,245.53106689453125
283,b284,10866660,246410,246.40953063964844
284,b285,10904438,247266,247.26617431640625
285,b286,10942698,248134,248.1337432861328
286,b287,10980956,249001,249.0012664794922
287,b288,11019216,249869,249.8688507080078
288,b289,11057474,250736,250.7363739013672
289,b290,11095734,251604,251.60394287109375
290,b291,11133992,252471,252.4714813232422
291,b292,11172252,253339,253.33905029296875
292,b293,11210510,254207,254.20657348632812
293,b294,11248770,255074,255.0741424560547
294,b295,11287028,255942,255.94168090820312
295,b296,11325288,256809,256.80926513671875
296,b297,11363546,257677,257.6767883300781
297,b298,11401806,258544,258.5443420410156
298,b299,11440064,259412,259.4118957519531
299,b300,11478324,260279,260.2794494628906
300,b301,11516582,261147,261.14697265625
301,b302,11554842,262015,262.0145568847656
302,b303,11593100,262882,262.882080078125
303,b304,11631360,263750,263.7496643066406
304,b305,11669618,264617,264.6171875
305,b306,11707878,265485,265.4847717285156
306,b307,11746136,266352,266.352294921875
307,b308,11784396,267220,267.2198791503906
308,b309,11822654,268087,268.08740234375
309,b310,11860914,268955,268.9549560546875
310,b311,11899172,269822,269.8224792480469
311,b312,11937432,270690,270.6900634765625
312,b313,11975690,271558,271.5575866699219
313,b314,12014360,272434,272.4344787597656
314,b315,12052208,273293,273.2926940917969
315,b316,12090816,274168,274.16815185546875
316,b317,12128726,275028,275.0278015136719
317,b318,12167472,275906,275.9064025878906
318,b319,12206396,276789,276.7890319824219
319,b320,12244656,277657,277.6565856933594
320,b321,12282914,278524,278.5241394042969
321,b322,12321174,279392,279.3916931152344
322,b323,12359432,280259,280.25921630859375
323,b324,12397692,281127,281.1268005371094
324,b325,12435950,281994,281.99432373046875
325,b326,12474210,282862,282.8619079589844
326,b327,12512468,283729,283.72943115234375
327,b328,12550728,284597,284.5970153808594
328,b329,12588986,285465,285.46453857421875
329,b330,12627246,286332,286.3321228027344
330,b331,12665504,287200,287.19964599609375
331,b332,12703764,288067,288.06719970703125
332,b333,12742022,288935,288.93475341796875
333,b334,12780282,289802,289.80230712890625
334,b335,12818540,290670,290.6698303222656
335,b336,12856800,291537,291.53741455078125
336,b337,12895058,292405,292.4049377441406
337,b338,12933318,293273,293.27252197265625
338,b339,12971576,294140,294.1400451660156
339,b340,13009836,295008,295.00762939453125
340,b341,13048094,295875,295.8751525878906
341,b342,13086354,296743,296.7427062988281
342,b343,13124612,297610,297.6102600097656
343,b344,13162872,298478,298.4778137207031
344,b345,13201130,299345,299.3453369140625
345,b346,13239390,300213,300.2129211425781
346,g903,13277648,301080,301.0804443359375
347,b347,13315908,301948,301.9480285644531
348,b348,13354166,302816,302.8155517578125
349,b349,13392426,303683,303.6831359863281
350,b350,13430684,304551,304.5506591796875
351,b351,13468944,305418,305.4182434082031
352,b352,13507202,306286,306.2857666015625
353,b353,13545462,307153,307.1533203125
354,b354,13583720,308021,308.0208740234375
355,b355,13621980,308888,308.888427734375
356,b356,13660238,309756,309.7559509277344
357,b357,13698498,310624,310.62353515625
358,b358,13736756,311491,311.4910583496094
359,b359,13775016,312359,312.358642578125
360,b360,13813274,313226,313.2261657714844
361,b361,13851534,314094,314.09375
362,b362,13889792,314961,314.9612731933594
363,b363,13928052,315829,315.828857421875
364,b364,13966310,316696,316.6963806152344
365,b365,14004570,317564,317.5639343261719
366,b366,14042828,318431,318.4314880371094
367,b367,14081088,319299,319.2990417480469
368,c001,14119346,320167,320.16656494140625
369,b368,14157606,321034,321.0341491699219
370,b369,14195864,321902,321.90167236328125
371,b371,14234124,322769,322.7692565917969
372,b372,14272382,323637,323.63677978515625
373,b373,14310642,324504,324.5043640136719
